Year,Date,Setlist
1965,11/03/65,can't come down:mindbender:the only time is now:caution (do not stop on tracks):i know you rider:early morning rain:
1966,01/07/66,it's a sin:sick and tired:mindbender:on the road again:she belongs to me:i'll go crazy:can't come down:death don't have no mercy:parchman farm:midnight hour:the only time is now:early morning rain:it's all over now baby blue:
1966,01/08/66,hog for you baby:
1966,01/13/66,all of my love:hog for you baby:
1966,02/25/66,on the road again:next time you see me:i know you rider:hey little one:cold rain and snow:king bee:caution (do not stop on tracks):stealin:
1966,03/12/66,viola lee blues:one kind favor:i know you rider:you see a broken heart:it's a sin:beat it on down the line:next time you see me:death don't have no mercy:midnight hour:
1966,03/25/66,stealin:jam:hey little one:hog for you baby:you don't have to ask:cold rain and snow:next time you see me:
1966,05/19/66,beat it on down the line:standing on the corner:mindbender:it hurts me too:viola lee blues:i know you rider:it's a sin:sick and tired:cream puff war:sitting on top of the world:new minglewood blues:cold rain and snow:come back baby(tastebud):silver threads and golden needles:it's all over now baby blue:good lovin':you don't have to ask:
1966,07/03/66,dancin' in the streets:i know you rider:he was a friend of mine:next time you see me:viola lee blues:big boss man:sitting on top of the world:unknown:bring it on down the line:cream puff war:it's a good thing:
1966,07/16/66,viola lee blues:don't ease me in:pain in my heart:minglewood blues:sitting on top of the world:you don't have to ask:cold rain and snow:good morning little school girl:it's all over now baby blue:
1966,07/17/66,big boss man:viola lee blues:
1966,07/17/66,big boss man:standing on the corner:beat it on down the line:nobody's fault but mine:next time you see me:
1966,07/29/66,dancin' in the streets:cold rain and snow:king bee:one kind favor:you don't have to ask:hey little one:bring it on down the line:good morning little school girl:new minglewood blues:
1966,07/30/66,standing on the corner:i know you rider:next time you see me:sitting on top of the world:you don't have to ask:big boss man:stealin:cardboard cowboy:baby blue:cream puff war:viola lee blues:bring it on down the line:good morning little school girl:
1966,08/07/66,midnight hour:
1966,09/16/66,i know you rider:it hurts me too:it's all over now baby blue:good morning little school girl:lindy:dancin' in the streets:midnight hour:
1966,10/07/66,stealin:don't ease me in:cold rain and snow:cream puff war:walkin' blues:
1966,10/31/66,viola lee blues:alice d. millionaire::
1966,11/19/66,hi heeled sneakers:pain in my heart:cold rain and snow:beat it on down the line:cream puff war:the same thing:he was a friend of mine:dancin' in the streets:smokestack lightning:i'm a king bee:midnight hour:
1966,11/29/66,sick and tired:standing on the corner:mindbender:it hurts me too:viola lee blues:i know you rider:it's a sin:cream puff war:me and my uncle:the same thing:stealin:big boy pete:one kind favor:viola lee blues:early morning rain:cold rain and snow:down so long:there's something on your mind:lindy:good morning little school girl:i just wanna make love to you:
1966,12/01/66,minglewood blues:betty and dupree:next time you see me:i know you rider:big boss man:one kind favor:alice d. millionaire:me and my uncle:cream puff war:you don't love me:beat it on down the line:it hurts me too:on the road again:look over yonder's wall:my own fault:down so long:cold rain and snow:viola lee blues:deep elem blues:there's something on your mind:big boy pete:death don't have no mercy:lindy:dancin' in the streets:me and my uncle:
1966,12/02/66,i know you rider::
1967,01/01/67,i'm a king bee:lucky man:minglewood blues:i know you rider:cold rain and snow:cream puff war:sitting on top of the world:
1967,01/14/67,morning dew:viola lee blues:good morning little school girl:
1967,01/27/67,morning dew:new potato caboose:viola lee blues:cold rain and snow:alligator:caution (do not stop on tracks):good morning little school girl:
1967,02/12/67,cold rain and snow:hi heeled sneakers:
1967,03/18/67,me and my uncle:next time you see me:he was a friend of mine:smokestack lightning:morning dew:it hurts me too:beat it on down the line:dancin' in the streets:golden road to unlimited devotion:cream puff war:the same thing:cold rain and snow:viola lee blues:death don't have no mercy:
1967,04/12/67,golden road to unlimited devotion:
1967,05/05/67,he was a friend of mine:golden road to unlimited devotion:new potato caboose:alligator:
1967,05/18/67,louie louie:
1967,06/01/67,good morning little school girl:
1967,06/06/67,i'm a king bee:it hurts me too:the same thing:big boss man:alligator:midnight hour:beat it on down the line:me and my uncle:minglewood blues:don't ease me in:cold rain and snow:viola lee blues:it's all over now baby blue:
1967,06/08/67,beat it on down the line:golden road to unlimited devotion:new minglewood blues:cream puff war:cryptical envelopment:new potato caboose:born cross-eyed:alligator:caution (do not stop on tracks)::
1967,06/18/67,viola lee blues:cold rain and snow:
1967,06/28/67,the other one:minglewood blues:dark star:the eleven:william tell:death don't have no mercy:clementine::
1967,07/23/67,jam:
1967,08/04/67,new potato caboose:viola lee blues:alligator:
1967,08/05/67,turn on your love light:alligator:
1967,08/06/67,viola lee blues:alligator:dancin' in the streets:
1967,09/03/67,midnight hour:
1967,09/04/67,dark star jam:
1967,09/15/67,viola lee blues:cold rain and snow:beat it on down the line:good morning little school girl:morning dew:alligator:caution (do not stop on tracks):
1967,09/29/67,alligator:drums:
1967,10/14/67,cold rain and snow:good morning little school girl:alligator:drums:alligator:caution (do not stop on tracks):
1967,10/22/67,morning dew:new potato caboose:it hurts me too:cold rain and snow:turn on your love light:beat it on down the line:cryptical envelopment:the other one:cryptical envelopment:
1967,11/10/67,viola lee blues:it hurts me too:beat it on down the line:morning dew:good morning little school girl:alligator:drums:alligator:caution (do not stop on tracks):
1967,11/11/67,turn on your love light:beat it on down the line:death don't have no mercy:good morning little school girl:cryptical envelopment:the other one:cryptical envelopment:new potato caboose:alligator:drums:alligator:caution (do not stop on tracks):
1967,11/14/67,dark star:
1967,11/14/67,born cross-eyed:dark star:
1967,11/19/67,turn on your love light:
1967,12/13/67,dark star:
1968,01/17/68,turn on your love light:dark star:china cat sunflower:the eleven:new potato caboose:born cross-eyed:spanish jam:beat it on down the line:morning dew:cryptical envelopment:the other one:cryptical envelopment:good morning little school girl::
1968,01/20/68,jam:clementine:new potato caboose:born cross-eyed:caution (do not stop on tracks):dark star:
1968,01/22/68,alligator:cryptical envelopment:the other one:cryptical envelopment:new potato caboose:born cross-eyed:spanish jam:dark star:china cat sunflower:the eleven:caution (do not stop on tracks):feedback:
1968,01/26/68,new potato caboose:born cross-eyed:caution (do not stop on tracks):
1968,01/27/68,born cross-eyed:
1968,02/02/68,cryptical envelopment:the other one:cryptical envelopment:
1968,02/03/68,dark star:china cat sunflower:the eleven:cryptical envelopment:the other one:cryptical envelopment:new potato caboose:
1968,02/14/68,good morning little school girl:dark star:china cat sunflower:the eleven:turn on your love light:cryptical envelopment:the other one:cryptical envelopment:new potato caboose:born cross-eyed:spanish jam:alligator:drums:alligator:caution (do not stop on tracks):midnight hour:
1968,02/17/68,good morning little school girl:
1968,02/23/68,cold rain and snow:good morning little school girl:alligator:china cat sunflower:born cross-eyed:
1968,02/24/68,dark star:china cat sunflower:turn on your love light:
1968,03/03/68,viola lee blues:smokestack lightning:turn on your love light:it hurts me too:
1968,03/11/68,cryptical envelopment:the other one:cryptical envelopment:new potato caboose:born cross-eyed:caution (do not stop on tracks) jam:
1968,03/16/68,dark star:china cat sunflower:the eleven:good morning little school girl:it hurts me too:cryptical envelopment:the other one:cryptical envelopment:alligator:drums:alligator:caution (do not stop on tracks):feedback:and we bid you goodnight:morning dew:
