,0,1,2
0,1965,11/03/65,"[""Can't Come Down"", 'Mindbender', 'The Only Time Is Now', 'Caution (Do Not Stop On Tracks)', 'I Know You Rider', 'Early Morning Rain']"
1,1966,01/07/66,"[""It's A Sin"", 'Sick And Tired', 'Mindbender', 'On The Road Again', 'She Belongs To Me', ""I'll Go Crazy"", ""Can't Come Down"", ""Death Don't Have No Mercy"", 'Parchman Farm', 'Midnight Hour', 'The Only Time Is Now', 'Early Morning Rain', ""It's All Over Now Baby Blue""]"
2,1966,01/08/66,['Hog For You Baby']
3,1966,01/13/66,"['All Of My Love', 'Hog For You Baby']"
4,1966,02/25/66,"['On The Road Again', 'Next Time You See Me', 'I Know You Rider', 'Hey Little One', 'Cold Rain And Snow', 'King Bee', 'Caution (Do Not Stop On Tracks)', 'Stealin']"
5,1966,03/12/66,"['Viola Lee Blues', 'One Kind Favor', 'I Know You Rider', 'You See A Broken Heart', ""It's A Sin"", 'Beat It On Down The Line', 'Next Time You See Me', ""Death Don't Have No Mercy"", 'Midnight Hour']"
6,1966,03/25/66,"['Stealin', 'Jam', 'Hey Little One', 'Hog For You Baby', ""You Don't Have To Ask"", 'Cold Rain And Snow', 'Next Time You See Me']"
7,1966,05/19/66,"['Beat It On Down The Line', 'Standing On The Corner', 'Mindbender', 'It Hurts Me Too', 'Viola Lee Blues', 'I Know You Rider', ""It's A Sin"", 'Sick And Tired', 'Cream Puff War', 'Sitting On Top Of The World', 'New Minglewood Blues', 'Cold Rain And Snow', 'Come Back Baby(Tastebud)', 'Silver Threads And Golden Needles', ""It's All Over Now Baby Blue"", ""Good Lovin'"", ""You Don't Have To Ask""]"
8,1966,07/03/66,"[""Dancin' In The Streets"", 'I Know You Rider', 'He Was A Friend Of Mine', 'Next Time You See Me', 'Viola Lee Blues', 'Big Boss Man', 'Sitting On Top Of The World', 'Unknown', 'Bring It On Down The Line', 'Cream Puff War', ""It's A Good Thing""]"
9,1966,07/16/66,"['Viola Lee Blues', ""Don't Ease Me In"", 'Pain In My Heart', 'Minglewood Blues', 'Sitting On Top Of The World', ""You Don't Have To Ask"", 'Cold Rain And Snow', 'Good Morning Little School Girl', ""It's All Over Now Baby Blue""]"
10,1966,07/17/66,"['Big Boss Man', 'Viola Lee Blues']"
11,1966,07/17/66,"['Big Boss Man', 'Standing On The Corner', 'Beat It On Down The Line', ""Nobody's Fault But Mine"", 'Next Time You See Me']"
12,1966,07/29/66,"[""Dancin' In The Streets"", 'Cold Rain And Snow', 'King Bee', 'One Kind Favor', ""You Don't Have To Ask"", 'Hey Little One', 'Bring It On Down The Line', 'Good Morning Little School Girl', 'New Minglewood Blues']"
13,1966,07/30/66,"['Standing On The Corner', 'I Know You Rider', 'Next Time You See Me', 'Sitting On Top Of The World', ""You Don't Have To Ask"", 'Big Boss Man', 'Stealin', 'Cardboard Cowboy', 'Baby Blue', 'Cream Puff War', 'Viola Lee Blues', 'Bring It On Down The Line', 'Good Morning Little School Girl']"
14,1966,08/07/66,['Midnight Hour']
15,1966,09/16/66,"['I Know You Rider', 'It Hurts Me Too', ""It's All Over Now Baby Blue"", 'Good Morning Little School Girl', 'Lindy', ""Dancin' In The Streets"", 'Midnight Hour']"
16,1966,10/07/66,"['Stealin', ""Don't Ease Me In"", 'Cold Rain And Snow', 'Cream Puff War', ""Walkin' Blues""]"
17,1966,10/31/66,"['Viola Lee Blues', 'Alice D. Millionaire', '']"
18,1966,11/19/66,"['Hi Heeled Sneakers', 'Pain In My Heart', 'Cold Rain And Snow', 'Beat It On Down The Line', 'Cream Puff War', 'The Same Thing', 'He Was A Friend Of Mine', ""Dancin' In The Streets"", 'Smokestack Lightning', ""I'm A King Bee"", 'Midnight Hour']"
19,1966,11/29/66,"['Sick And Tired', 'Standing On The Corner', 'Mindbender', 'It Hurts Me Too', 'Viola Lee Blues', 'I Know You Rider', ""It's A Sin"", 'Cream Puff War', 'Me And My Uncle', 'The Same Thing', 'Stealin', 'Big Boy Pete', 'One Kind Favor', 'Viola Lee Blues', 'Early Morning Rain', 'Cold Rain And Snow', 'Down So Long', ""There's Something On Your Mind"", 'Lindy', 'Good Morning Little School Girl', 'I Just Wanna Make Love To You']"
